Plot,Replicate,Species,Day,Time.Point,Observed.ant.present,observed.ant.removing,sample.of.ant.observed.removing,ant.sample,ant.identification,PheSus,EctRui,SerAma,PheMul,WasAur,CypRim,ParCor,MycIst,MycZet,PheSim,PheRug,LabPra,Phe025,PhePug,AphAra,Phe091927,CypCos,ParBug,Phe015,side,position in line,season,zero.seeds.remaining,diff.between.this.timeperiod.and.next,day.time,notes
AVA,1,CeLo,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.1,
AVA,1,CeLo,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.11,
AVA,1,CeLo,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.12,
AVA,1,CeLo,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.13,
AVA,1,CeLo,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.14,
AVA,1,CeLo,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.15,
AVA,1,CeLo,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.16,
AVA,1,CeLo,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.1,
AVA,1,CeLo,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.11,
AVA,1,CeLo,2,12,SAR076,SAR076,SAR076,SAR076,Pheidole susannae (sp. 26),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,1,2.12,
AVA,1,CeLo,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,1,2.13,
AVA,1,CeLo,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.14,
AVA,1,CeLo,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.15,
AVA,1,CeLo,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.16,
AVA,1,CeLo,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,NA,3.9,
AVA,1,CoVi,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.1,
AVA,1,CoVi,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.11,
AVA,1,CoVi,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.12,
AVA,1,CoVi,1,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.13,ants in petri dish
AVA,1,CoVi,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.14,
AVA,1,CoVi,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.15,
AVA,1,CoVi,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,1.16,
AVA,1,CoVi,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.1,
AVA,1,CoVi,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.11,
AVA,1,CoVi,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.12,
AVA,1,CoVi,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.13,
AVA,1,CoVi,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.14,
AVA,1,CoVi,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.15,
AVA,1,CoVi,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,0,2.16,
AVA,1,CoVi,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,6,dry,no,NA,3.9,
AVA,1,FiIn,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.1,
AVA,1,FiIn,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.11,
AVA,1,FiIn,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.12,
AVA,1,FiIn,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.13,
AVA,1,FiIn,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.14,
AVA,1,FiIn,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.15,
AVA,1,FiIn,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,1.16,
AVA,1,FiIn,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.1,
AVA,1,FiIn,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.11,
AVA,1,FiIn,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.12,
AVA,1,FiIn,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.13,ants present in petri dish
AVA,1,FiIn,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.14,
AVA,1,FiIn,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.15,
AVA,1,FiIn,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,0,2.16,
AVA,1,FiIn,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,12,dry,no,NA,3.9,
AVA,1,GuUl,1,10,SAR068,SAR068,SAR068,SAR068,E. ruidum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,1,1.1,
AVA,1,GuUl,1,11,SAR072,SAR072,SAR072,SAR072,E. ruidum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,1,1.11,
AVA,1,GuUl,1,12,SAR073,SAR073,SAR073,SAR073,E. ruidum,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,3,1.12,
AVA,1,GuUl,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,1.13,
AVA,1,GuUl,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,1.14,
AVA,1,GuUl,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,1.15,
AVA,1,GuUl,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,4,1.16,
AVA,1,GuUl,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.1,
AVA,1,GuUl,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.11,
AVA,1,GuUl,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.12,
AVA,1,GuUl,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.13,ants present in petri dish
AVA,1,GuUl,2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.14,ants present in petri dish
AVA,1,GuUl,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.15,
AVA,1,GuUl,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,0,2.16,
AVA,1,GuUl,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,9,dry,no,NA,3.9,
AVA,1,HiAl,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.1,
AVA,1,HiAl,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.11,
AVA,1,HiAl,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.12,
AVA,1,HiAl,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.13,
AVA,1,HiAl,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.14,
AVA,1,HiAl,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.15,
AVA,1,HiAl,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,1.16,
AVA,1,HiAl,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.1,
AVA,1,HiAl,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.11,
AVA,1,HiAl,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.12,
AVA,1,HiAl,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.13,
AVA,1,HiAl,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.14,
AVA,1,HiAl,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.15,
AVA,1,HiAl,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,0,2.16,
AVA,1,HiAl,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,10,dry,no,NA,3.9,crawling in petri dish
AVA,1,JaCo,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.1,
AVA,1,JaCo,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.11,
AVA,1,JaCo,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.12,
AVA,1,JaCo,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.13,
AVA,1,JaCo,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.14,
AVA,1,JaCo,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.15,
AVA,1,JaCo,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,1.16,
AVA,1,JaCo,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.1,
AVA,1,JaCo,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.11,
AVA,1,JaCo,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.12,
AVA,1,JaCo,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.13,
AVA,1,JaCo,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.14,
AVA,1,JaCo,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.15,
AVA,1,JaCo,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,0,2.16,
AVA,1,JaCo,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,3,dry,no,NA,3.9,
AVA,1,LuSe,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.1,
AVA,1,LuSe,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.11,
AVA,1,LuSe,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.12,
AVA,1,LuSe,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.13,
AVA,1,LuSe,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.14,
AVA,1,LuSe,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.15,
AVA,1,LuSe,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,1.16,
AVA,1,LuSe,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.1,
AVA,1,LuSe,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.11,
AVA,1,LuSe,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.12,
AVA,1,LuSe,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.13,
AVA,1,LuSe,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.14,
AVA,1,LuSe,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.15,
AVA,1,LuSe,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,0,2.16,
AVA,1,LuSe,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,8,dry,no,NA,3.9,
AVA,1,OcPy,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,0,1.1,
AVA,1,OcPy,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,0,1.11,
AVA,1,OcPy,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,0,1.12,
AVA,1,OcPy,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,0,1.13,
AVA,1,OcPy,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,2,1.14,ant present in dish
AVA,1,OcPy,1,15,SAR074,SAR074,SAR074,SAR074,Sericomyrmex amabilis,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,1,1.15,
AVA,1,OcPy,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,no,7,1.16,
AVA,1,OcPy,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.1,
AVA,1,OcPy,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.11,
AVA,1,OcPy,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.12,
AVA,1,OcPy,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.13,
AVA,1,OcPy,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.14,
AVA,1,OcPy,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.15,
AVA,1,OcPy,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,0,2.16,
AVA,1,OcPy,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,1,dry,yes,NA,3.9,
AVA,1,TrBl,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.1,
AVA,1,TrBl,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.11,
AVA,1,TrBl,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.12,
AVA,1,TrBl,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.13,
AVA,1,TrBl,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.14,
AVA,1,TrBl,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.15,
AVA,1,TrBl,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,1.16,
AVA,1,TrBl,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.1,
AVA,1,TrBl,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.11,
AVA,1,TrBl,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.12,
AVA,1,TrBl,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.13,
AVA,1,TrBl,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.14,
AVA,1,TrBl,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.15,
AVA,1,TrBl,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,0,2.16,
AVA,1,TrBl,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,11,dry,no,NA,3.9,
AVA,1,TrBr,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.1,
AVA,1,TrBr,1,11,SAR071,SAR071,SAR071,SAR071,Pheidole susannae (sp. 26),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,1,1.11,singly carrying seeds
AVA,1,TrBr,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.12,
AVA,1,TrBr,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.13,
AVA,1,TrBr,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.14,
AVA,1,TrBr,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.15,
AVA,1,TrBr,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,1.16,
AVA,1,TrBr,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,1,2.1,
AVA,1,TrBr,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.11,
AVA,1,TrBr,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.12,
AVA,1,TrBr,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.13,
AVA,1,TrBr,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.14,
AVA,1,TrBr,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.15,
AVA,1,TrBr,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,0,2.16,
AVA,1,TrBr,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,5,dry,no,NA,3.9,
AVA,1,ZaEk,1,10,SAR069,SAR069,SAR069,SAR069,Pheidole susannae (sp. 26),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,7,dry,no,5,1.1,
AVA,1,ZaEk,1,11,SAR070,SAR070,SAR070,SAR070,Pheidole susannae (sp. 26),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,7,dry,no,5,1.11,
AVA,1,ZaEk,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,w,7,dry,yes,0,1.12,
