Species,Dispersion,Season,Plot,Replicate,Total.Seeds.Remaining,Total.Seeds.Removed,Position,Start.Date,Dormancy
LuSe,Wind,Dry,Drayton,1,10,0,11,5.4.2013,physical
LuSe,Wind,Dry,Drayton,2,9,1,11,18.4.2013,physical
OcPy,Wind,Dry,Drayton,1,3,7,4,5.4.2013,physical
OcPy,Wind,Dry,Drayton,2,9,1,1,18.4.2013,physical
TrBl,Animal,Dry,Drayton,1,10,0,5,5.4.2013,physiological
TrBl,Animal,Dry,Drayton,2,10,0,4,18.4.2013,physiological
TrBr,Animal,Dry,Drayton,1,10,0,6,5.4.2013,quiescent
TrBr,Animal,Dry,Drayton,2,8,2,5,18.4.2013,quiescent
ZaEk,Animal,Dry,Drayton,1,0,10,8,5.4.2013,physiological
ZaEk,Animal,Dry,Drayton,2,0,10,10,18.4.2013,physiological
ApMe,Animal,Dry,Zetek,1,4,6,7,9.4.2013,physical
ApMe,Animal,Dry,Zetek,2,0,10,1,23.4.2013,physical
CeLo,Animal,Dry,Zetek,1,10,0,2,9.4.2013,quiescent
CeLo,Animal,Dry,Zetek,2,2,8,4,23.4.2013,quiescent
CoVi,Wind,Dry,Zetek,1,10,0,9,9.4.2013,physical
CoVi,Wind,Dry,Zetek,2,10,0,10,23.4.2013,physical
FiIn,Animal,Dry,Zetek,1,10,0,5,9.4.2013,quiescent
FiIn,Animal,Dry,Zetek,2,5,5,2,23.4.2013,quiescent
GuUl,Animal,Dry,Zetek,1,1,9,10,9.4.2013,physical
GuUl,Animal,Dry,Zetek,2,0,10,5,23.4.2013,physical
HiAl,Animal,Dry,Zetek,1,0,10,8,9.4.2013,physiological
HiAl,Animal,Dry,Zetek,2,10,0,3,23.4.2013,physiological
JaCo,Wind,Dry,Zetek,1,8,2,3,9.4.2013,quiescent
JaCo,Wind,Dry,Zetek,2,10,0,11,23.4.2013,quiescent
LuSe,Wind,Dry,Zetek,1,10,0,1,9.4.2013,physical
LuSe,Wind,Dry,Zetek,2,10,0,7,23.4.2013,physical
OcPy,Wind,Dry,Zetek,1,0,10,12,9.4.2013,physical
OcPy,Wind,Dry,Zetek,2,8,2,6,23.4.2013,physical
TrBl,Animal,Dry,Zetek,1,9,1,4,9.4.2013,physiological
TrBl,Animal,Dry,Zetek,2,10,0,8,23.4.2013,physiological
TrBr,Animal,Dry,Zetek,1,10,0,6,9.4.2013,quiescent
TrBr,Animal,Dry,Zetek,2,9,1,12,23.4.2013,quiescent
ZaEk,Animal,Dry,Zetek,1,0,10,11,9.4.2013,physiological
ZaEk,Animal,Dry,Zetek,2,0,10,9,23.4.2013,physiological
ApMe,Animal,Wet,AVA,1,0,10,12,15.7.2013,physical
ApMe,Animal,Wet,AVA,2,1,9,10,1.8.2913,physical
CeLo,Animal,Wet,AVA,1,3,7,5,15.7.2013,quiescent
CeLo,Animal,Wet,AVA,2,0,9,3,1.8.2913,quiescent
CoVi,Wind,Wet,AVA,1,0,10,7,15.7.2013,physical
CoVi,Wind,Wet,AVA,2,9,1,10,1.8.2913,physical
FiIn,Animal,Wet,AVA,1,8,2,1,15.7.2013,quiescent
FiIn,Animal,Wet,AVA,2,0,10,9,1.8.2913,quiescent
GuUl,Animal,Wet,AVA,1,4,6,13,15.7.2013,physical
GuUl,Animal,Wet,AVA,2,0,10,5,1.8.2913,physical
HiAl,Animal,Wet,AVA,1,0,10,11,15.7.2013,physiological
HiAl,Animal,Wet,AVA,2,7,3,1,1.8.2913,physiological
JaCo,Wind,Wet,AVA,1,10,0,3,15.7.2013,quiescent
JaCo,Wind,Wet,AVA,2,9,1,6,1.8.2913,quiescent
LuSe,Wind,Wet,AVA,1,1,9,10,15.7.2013,physical
LuSe,Wind,Wet,AVA,2,8,2,7,1.8.2913,physical
OcPy,Wind,Wet,AVA,1,5,5,6,15.7.2013,physical
OcPy,Wind,Wet,AVA,2,0,10,13,1.8.2913,physical
TrBl,Animal,Wet,AVA,1,8,2,9,15.7.2013,physiological
TrBl,Animal,Wet,AVA,2,10,0,2,1.8.2913,physiological
TrBr,Animal,Wet,AVA,1,10,0,8,15.7.2013,quiescent
TrBr,Animal,Wet,AVA,2,0,10,4,1.8.2913,quiescent
ZaEk,Animal,Wet,AVA,1,9,1,2,15.7.2013,physiological
ZaEk,Animal,Wet,AVA,2,5,5,12,1.8.2913,physiological
Glass,Control,Wet,AVA,1,9,1,4,15.7.2013,control
Glass,Control,Wet,AVA,2,10,0,8,1.8.2913,control
ApMe,Animal,Wet,Pearson,1,2,8,12,18.7.2013,physical
ApMe,Animal,Wet,Pearson,2,0,10,5,5.8.2013,physical
CeLo,Animal,Wet,Pearson,1,10,0,5,18.7.2013,quiescent
CeLo,Animal,Wet,Pearson,2,6,4,6,5.8.2013,quiescent
CoVi,Wind,Wet,Pearson,1,10,0,7,18.7.2013,physical
CoVi,Wind,Wet,Pearson,2,10,0,3,5.8.2013,physical
FiIn,Animal,Wet,Pearson,1,10,0,6,18.7.2013,quiescent
FiIn,Animal,Wet,Pearson,2,4,6,13,5.8.2013,quiescent
GuUl,Animal,Wet,Pearson,1,0,10,1,18.7.2013,physical
GuUl,Animal,Wet,Pearson,2,9,1,9,5.8.2013,physical
HiAl,Animal,Wet,Pearson,1,9,1,4,18.7.2013,physiological
HiAl,Animal,Wet,Pearson,2,9,1,12,5.8.2013,physiological
JaCo,Wind,Wet,Pearson,1,10,0,2,18.7.2013,quiescent
JaCo,Wind,Wet,Pearson,2,10,0,2,5.8.2013,quiescent
LuSe,Wind,Wet,Pearson,1,10,0,10,18.7.2013,physical
LuSe,Wind,Wet,Pearson,2,7,3,1,5.8.2013,physical
OcPy,Wind,Wet,Pearson,1,5,5,3,18.7.2013,physical
OcPy,Wind,Wet,Pearson,2,7,3,4,5.8.2013,physical
TrBl,Animal,Wet,Pearson,1,10,0,11,18.7.2013,physiological
TrBl,Animal,Wet,Pearson,2,10,0,7,5.8.2013,physiological
TrBr,Animal,Wet,Pearson,1,10,0,13,18.7.2013,quiescent
TrBr,Animal,Wet,Pearson,2,10,0,10,5.8.2013,quiescent
ZaEk,Animal,Wet,Pearson,1,0,10,8,18.7.2013,physiological
ZaEk,Animal,Wet,Pearson,2,3,7,11,5.8.2013,physiological
Glass,Control,Wet,Pearson,1,9,1,9,18.7.2013,control
Glass,Control,Wet,Pearson,2,10,0,8,5.8.2013,control
ApMe,Animal,Wet,25Ha,1,0,10,5,22.7.2013,physical
ApMe,Animal,Wet,25Ha,2,9,1,3,8.8.2013,physical
CeLo,Animal,Wet,25Ha,1,8,0,1,22.7.2013,quiescent
CeLo,Animal,Wet,25Ha,2,8,2,2,8.8.2013,quiescent
CoVi,Wind,Wet,25Ha,1,10,0,7,22.7.2013,physical
CoVi,Wind,Wet,25Ha,2,10,0,6,8.8.2013,physical
FiIn,Animal,Wet,25Ha,1,8,2,10,22.7.2013,quiescent
FiIn,Animal,Wet,25Ha,2,10,0,1,8.8.2013,quiescent
GuUl,Animal,Wet,25Ha,1,0,10,9,22.7.2013,physical
GuUl,Animal,Wet,25Ha,2,3,7,7,8.8.2013,physical
HiAl,Animal,Wet,25Ha,1,9,1,11,22.7.2013,physiological
HiAl,Animal,Wet,25Ha,2,8,2,13,8.8.2013,physiological
JaCo,Wind,Wet,25Ha,1,9,1,3,22.7.2013,quiescent
JaCo,Wind,Wet,25Ha,2,10,0,8,8.8.2013,quiescent
LuSe,Wind,Wet,25Ha,1,9,1,6,22.7.2013,physical
LuSe,Wind,Wet,25Ha,2,10,0,4,8.8.2013,physical
OcPy,Wind,Wet,25Ha,1,0,10,12,22.7.2013,physical
OcPy,Wind,Wet,25Ha,2,5,5,9,8.8.2013,physical
TrBl,Animal,Wet,25Ha,1,9,1,13,22.7.2013,physiological
TrBl,Animal,Wet,25Ha,2,10,0,12,8.8.2013,physiological
TrBr,Animal,Wet,25Ha,1,10,0,8,22.7.2013,quiescent
TrBr,Animal,Wet,25Ha,2,9,1,5,8.8.2013,quiescent
ZaEk,Animal,Wet,25Ha,1,1,9,2,22.7.2013,physiological
ZaEk,Animal,Wet,25Ha,2,3,7,11,8.8.2013,physiological
Glass,Control,Wet,25Ha,1,10,0,4,22.7.2013,control
Glass,Control,Wet,25Ha,2,10,0,10,8.8.2013,control
ApMe,Animal,Wet,Drayton,1,0,10,8,25.7.2013,physical
ApMe,Animal,Wet,Drayton,2,3,7,1,12.8.2013,physical
CeLo,Animal,Wet,Drayton,1,0,10,6,25.7.2013,quiescent
CeLo,Animal,Wet,Drayton,2,0,10,5,12.8.2013,quiescent
CoVi,Wind,Wet,Drayton,1,10,0,3,25.7.2013,physical
CoVi,Wind,Wet,Drayton,2,10,0,11,12.8.2013,physical
FiIn,Animal,Wet,Drayton,1,9,1,10,25.7.2013,quiescent
FiIn,Animal,Wet,Drayton,2,0,10,9,12.8.2013,quiescent
GuUl,Animal,Wet,Drayton,1,10,0,1,25.7.2013,physical
GuUl,Animal,Wet,Drayton,2,3,7,13,12.8.2013,physical
HiAl,Animal,Wet,Drayton,1,9,0,2,25.7.2013,physiological
HiAl,Animal,Wet,Drayton,2,7,3,6,12.8.2013,physiological
JaCo,Wind,Wet,Drayton,1,10,0,7,25.7.2013,quiescent
JaCo,Wind,Wet,Drayton,2,10,0,4,12.8.2013,quiescent
LuSe,Wind,Wet,Drayton,1,10,0,13,25.7.2013,physical
LuSe,Wind,Wet,Drayton,2,10,0,3,12.8.2013,physical
OcPy,Wind,Wet,Drayton,1,10,0,4,25.7.2013,physical
OcPy,Wind,Wet,Drayton,2,0,10,2,12.8.2013,physical
TrBl,Animal,Wet,Drayton,1,10,0,12,25.7.2013,physiological
TrBl,Animal,Wet,Drayton,2,9,1,12,12.8.2013,physiological
TrBr,Animal,Wet,Drayton,1,10,0,11,25.7.2013,quiescent
TrBr,Animal,Wet,Drayton,2,0,10,8,12.8.2013,quiescent
ZaEk,Animal,Wet,Drayton,1,4,6,5,25.7.2013,physiological
ZaEk,Animal,Wet,Drayton,2,1,9,7,12.8.2013,physiological
Glass,Control,Wet,Drayton,1,10,0,9,25.7.2013,control
Glass,Control,Wet,Drayton,2,10,0,10,12.8.2013,control
ApMe,Animal,Wet,Zetek,1,0,10,2,10.7.2013,physical
ApMe,Animal,Wet,Zetek,2,4,6,11,29.7.2013,physical
CeLo,Animal,Wet,Zetek,1,3,7,8,10.7.2013,quiescent
CeLo,Animal,Wet,Zetek,2,0,10,1,29.7.2013,quiescent
CoVi,Wind,Wet,Zetek,1,0,10,12,10.7.2013,physical
CoVi,Wind,Wet,Zetek,2,1,9,10,29.7.2013,physical
FiIn,Animal,Wet,Zetek,1,0,10,6,10.7.2013,quiescent
FiIn,Animal,Wet,Zetek,2,0,10,6,29.7.2013,quiescent
GuUl,Animal,Wet,Zetek,1,0,10,5,10.7.2013,physical
GuUl,Animal,Wet,Zetek,2,0,10,5,29.7.2013,physical
HiAl,Animal,Wet,Zetek,1,0,10,13,10.7.2013,physiological
HiAl,Animal,Wet,Zetek,2,0,10,4,29.7.2013,physiological
JaCo,Wind,Wet,Zetek,1,0,10,11,10.7.2013,quiescent
JaCo,Wind,Wet,Zetek,2,0,10,7,29.7.2013,quiescent
LuSe,Wind,Wet,Zetek,1,7,3,1,10.7.2013,physical
LuSe,Wind,Wet,Zetek,2,8,2,2,29.7.2013,physical
OcPy,Wind,Wet,Zetek,1,0,10,3,10.7.2013,physical
OcPy,Wind,Wet,Zetek,2,2,7,8,29.7.2013,physical
TrBl,Animal,Wet,Zetek,1,5,5,4,10.7.2013,physiological
TrBl,Animal,Wet,Zetek,2,9,1,13,29.7.2013,physiological
TrBr,Animal,Wet,Zetek,1,5,5,9,10.7.2013,quiescent
TrBr,Animal,Wet,Zetek,2,7,3,9,29.7.2013,quiescent
ZaEk,Animal,Wet,Zetek,1,0,10,7,10.7.2013,physiological
ZaEk,Animal,Wet,Zetek,2,3,7,12,29.7.2013,physiological
Glass,Control,Wet,Zetek,1,10,0,10,10.7.2013,control
Glass,Control,Wet,Zetek,2,10,0,3,29.7.2013,control
